candidate,party,votes,percentage,year,region,region_clean,category,source,search_text
Henry Herbert Lartey,GCPP,4025,0.61,2012,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2012, Henry Herbert Lartey of GCPP received 4025 votes, representing 0.61%, in Northern Region region. The record category is Others."
Nana Akufo Addo,NPP,64207,28.44,2012,Volta Region,Oti Region,NPP,Ghana_Election_Result.csv,"In 2012, Nana Akufo Addo of NPP received 64207 votes, representing 28.44%, in Volta Region region. The record category is NPP."
John Dramani Mahama,NDC,155343,68.81,2012,Volta Region,Oti Region,NDC,Ghana_Election_Result.csv,"In 2012, John Dramani Mahama of NDC received 155343 votes, representing 68.81%, in Volta Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,880,0.39,2012,Volta Region,Oti Region,Others,Ghana_Election_Result.csv,"In 2012, Ivor Kobina Greenstreet of CPP received 880 votes, representing 0.39%, in Volta Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,658,0.29,2012,Volta Region,Oti Region,Others,Ghana_Election_Result.csv,"In 2012, David Asibi Ayindenaba Apasera of PNC received 658 votes, representing 0.29%, in Volta Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,1430,0.63,2012,Volta Region,Oti Region,Others,Ghana_Election_Result.csv,"In 2012, Alfred Kwame Asiedu Walker of IND received 1430 votes, representing 0.63%, in Volta Region region. The record category is Others."
Bridget Dzogbenuku,PPP,1141,0.51,2012,Volta Region,Oti Region,Others,Ghana_Election_Result.csv,"In 2012, Bridget Dzogbenuku of PPP received 1141 votes, representing 0.51%, in Volta Region region. The record category is Others."
Henry Herbert Lartey,GCPP,1592,0.71,2012,Volta Region,Oti Region,Others,Ghana_Election_Result.csv,"In 2012, Henry Herbert Lartey of GCPP received 1592 votes, representing 0.71%, in Volta Region region. The record category is Others."
Nana Akufo Addo,NPP,54425,34.51,2012,Northern Region,Savannah Region,NPP,Ghana_Election_Result.csv,"In 2012, Nana Akufo Addo of NPP received 54425 votes, representing 34.51%, in Northern Region region. The record category is NPP."
John Dramani Mahama,NDC,99413,63.04,2012,Northern Region,Savannah Region,NDC,Ghana_Election_Result.csv,"In 2012, John Dramani Mahama of NDC received 99413 votes, representing 63.04%, in Northern Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,799,0.51,2012,Northern Region,Savannah Region,Others,Ghana_Election_Result.csv,"In 2012, Ivor Kobina Greenstreet of CPP received 799 votes, representing 0.51%, in Northern Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,472,0.3,2012,Northern Region,Savannah Region,Others,Ghana_Election_Result.csv,"In 2012, David Asibi Ayindenaba Apasera of PNC received 472 votes, representing 0.3%, in Northern Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,381,0.24,2012,Northern Region,Savannah Region,Others,Ghana_Election_Result.csv,"In 2012, Alfred Kwame Asiedu Walker of IND received 381 votes, representing 0.24%, in Northern Region region. The record category is Others."
Bridget Dzogbenuku,PPP,736,0.47,2012,Northern Region,Savannah Region,Others,Ghana_Election_Result.csv,"In 2012, Bridget Dzogbenuku of PPP received 736 votes, representing 0.47%, in Northern Region region. The record category is Others."
Henry Herbert Lartey,GCPP,1191,0.76,2012,Northern Region,Savannah Region,Others,Ghana_Election_Result.csv,"In 2012, Henry Herbert Lartey of GCPP received 1191 votes, representing 0.76%, in Northern Region region. The record category is Others."
Nana Akufo Addo,NPP,120814,29.29,2012,Upper East Region,Upper East Region,NPP,Ghana_Election_Result.csv,"In 2012, Nana Akufo Addo of NPP received 120814 votes, representing 29.29%, in Upper East Region region. The record category is NPP."
John Dramani Mahama,NDC,274019,66.44,2012,Upper East Region,Upper East Region,NDC,Ghana_Election_Result.csv,"In 2012, John Dramani Mahama of NDC received 274019 votes, representing 66.44%, in Upper East Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,1098,0.27,2012,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2012, Ivor Kobina Greenstreet of CPP received 1098 votes, representing 0.27%, in Upper East Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,8017,1.94,2012,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2012, David Asibi Ayindenaba Apasera of PNC received 8017 votes, representing 1.94%, in Upper East Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,1426,0.35,2012,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2012, Alfred Kwame Asiedu Walker of IND received 1426 votes, representing 0.35%, in Upper East Region region. The record category is Others."
Bridget Dzogbenuku,PPP,2805,0.68,2012,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2012, Bridget Dzogbenuku of PPP received 2805 votes, representing 0.68%, in Upper East Region region. The record category is Others."
Henry Herbert Lartey,GCPP,3026,0.73,2012,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2012, Henry Herbert Lartey of GCPP received 3026 votes, representing 0.73%, in Upper East Region region. The record category is Others."
Nana Akufo Addo,NPP,83098,29.26,2012,Upper West Region,Upper West Region,NPP,Ghana_Election_Result.csv,"In 2012, Nana Akufo Addo of NPP received 83098 votes, representing 29.26%, in Upper West Region region. The record category is NPP."
John Dramani Mahama,NDC,186134,65.54,2012,Upper West Region,Upper West Region,NDC,Ghana_Election_Result.csv,"In 2012, John Dramani Mahama of NDC received 186134 votes, representing 65.54%, in Upper West Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,813,0.29,2012,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2012, Ivor Kobina Greenstreet of CPP received 813 votes, representing 0.29%, in Upper West Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,4933,1.74,2012,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2012, David Asibi Ayindenaba Apasera of PNC received 4933 votes, representing 1.74%, in Upper West Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,2790,0.98,2012,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2012, Alfred Kwame Asiedu Walker of IND received 2790 votes, representing 0.98%, in Upper West Region region. The record category is Others."
Bridget Dzogbenuku,PPP,3095,1.09,2012,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2012, Bridget Dzogbenuku of PPP received 3095 votes, representing 1.09%, in Upper West Region region. The record category is Others."
Henry Herbert Lartey,GCPP,2610,0.92,2012,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2012, Henry Herbert Lartey of GCPP received 2610 votes, representing 0.92%, in Upper West Region region. The record category is Others."
Nana Akufo Addo,NPP,46942,7.41,2012,Volta Region,Volta Region,NPP,Ghana_Election_Result.csv,"In 2012, Nana Akufo Addo of NPP received 46942 votes, representing 7.41%, in Volta Region region. The record category is NPP."
John Dramani Mahama,NDC,579298,91.39,2012,Volta Region,Volta Region,NDC,Ghana_Election_Result.csv,"In 2012, John Dramani Mahama of NDC received 579298 votes, representing 91.39%, in Volta Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,1307,0.21,2012,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2012, Ivor Kobina Greenstreet of CPP received 1307 votes, representing 0.21%, in Volta Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,695,0.11,2012,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2012, David Asibi Ayindenaba Apasera of PNC received 695 votes, representing 0.11%, in Volta Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,760,0.12,2012,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2012, Alfred Kwame Asiedu Walker of IND received 760 votes, representing 0.12%, in Volta Region region. The record category is Others."
Bridget Dzogbenuku,PPP,2811,0.44,2012,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2012, Bridget Dzogbenuku of PPP received 2811 votes, representing 0.44%, in Volta Region region. The record category is Others."
Henry Herbert Lartey,GCPP,1647,0.26,2012,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2012, Henry Herbert Lartey of GCPP received 1647 votes, representing 0.26%, in Volta Region region. The record category is Others."
Nana Akufo Addo,NPP,342217,47.69,2012,Western Region,Western Region,NPP,Ghana_Election_Result.csv,"In 2012, Nana Akufo Addo of NPP received 342217 votes, representing 47.69%, in Western Region region. The record category is NPP."
John Dramani Mahama,NDC,360542,50.24,2012,Western Region,Western Region,NDC,Ghana_Election_Result.csv,"In 2012, John Dramani Mahama of NDC received 360542 votes, representing 50.24%, in Western Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,3317,0.46,2012,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2012, Ivor Kobina Greenstreet of CPP received 3317 votes, representing 0.46%, in Western Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,879,0.12,2012,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2012, David Asibi Ayindenaba Apasera of PNC received 879 votes, representing 0.12%, in Western Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,762,0.11,2012,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2012, Alfred Kwame Asiedu Walker of IND received 762 votes, representing 0.11%, in Western Region region. The record category is Others."
Bridget Dzogbenuku,PPP,7261,1.01,2012,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2012, Bridget Dzogbenuku of PPP received 7261 votes, representing 1.01%, in Western Region region. The record category is Others."
Henry Herbert Lartey,GCPP,2160,0.3,2012,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2012, Henry Herbert Lartey of GCPP received 2160 votes, representing 0.3%, in Western Region region. The record category is Others."
Nana Akufo Addo,NPP,126300,35.87,2012,Western Region,Western North Region,NPP,Ghana_Election_Result.csv,"In 2012, Nana Akufo Addo of NPP received 126300 votes, representing 35.87%, in Western Region region. The record category is NPP."
John Dramani Mahama,NDC,221651,62.95,2012,Western Region,Western North Region,NDC,Ghana_Election_Result.csv,"In 2012, John Dramani Mahama of NDC received 221651 votes, representing 62.95%, in Western Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,440,0.12,2012,Western Region,Western North Region,Others,Ghana_Election_Result.csv,"In 2012, Ivor Kobina Greenstreet of CPP received 440 votes, representing 0.12%, in Western Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,395,0.11,2012,Western Region,Western North Region,Others,Ghana_Election_Result.csv,"In 2012, David Asibi Ayindenaba Apasera of PNC received 395 votes, representing 0.11%, in Western Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,453,0.13,2012,Western Region,Western North Region,Others,Ghana_Election_Result.csv,"In 2012, Alfred Kwame Asiedu Walker of IND received 453 votes, representing 0.13%, in Western Region region. The record category is Others."
Bridget Dzogbenuku,PPP,1338,0.38,2012,Western Region,Western North Region,Others,Ghana_Election_Result.csv,"In 2012, Bridget Dzogbenuku of PPP received 1338 votes, representing 0.38%, in Western Region region. The record category is Others."
Henry Herbert Lartey,GCPP,1298,0.37,2012,Western Region,Western North Region,Others,Ghana_Election_Result.csv,"In 2012, Henry Herbert Lartey of GCPP received 1298 votes, representing 0.37%, in Western Region region. The record category is Others."
Nana Addo,NPP,1214350,72.4,2008,Ashanti Region,Ashanti Region,NPP,Ghana_Election_Result.csv,"In 2008, Nana Addo of NPP received 1214350 votes, representing 72.4%, in Ashanti Region region. The record category is NPP."
J. A Mills,NDC,438234,26.13,2008,Ashanti Region,Ashanti Region,NDC,Ghana_Election_Result.csv,"In 2008, J. A Mills of NDC received 438234 votes, representing 26.13%, in Ashanti Region region. The record category is NDC."
Papa K. Nduom,CPP,11937,0.71,2008,Ashanti Region,Ashanti Region,Others,Ghana_Election_Result.csv,"In 2008, Papa K. Nduom of CPP received 11937 votes, representing 0.71%, in Ashanti Region region. The record category is Others."
Edward Mahama,PNC,5464,0.33,2008,Ashanti Region,Ashanti Region,Others,Ghana_Election_Result.csv,"In 2008, Edward Mahama of PNC received 5464 votes, representing 0.33%, in Ashanti Region region. The record category is Others."
Kwesi Amoafo-Yeboah,IND,2517,0.15,2008,Ashanti Region,Ashanti Region,Others,Ghana_Election_Result.csv,"In 2008, Kwesi Amoafo-Yeboah of IND received 2517 votes, representing 0.15%, in Ashanti Region region. The record category is Others."
Nana Addo,NPP,392588,50.56,2008,Brong Ahafo Region,Brong Ahafo Region,NPP,Ghana_Election_Result.csv,"In 2008, Nana Addo of NPP received 392588 votes, representing 50.56%, in Brong Ahafo Region region. The record category is NPP."
J. A Mills,NDC,370404,47.7,2008,Brong Ahafo Region,Brong Ahafo Region,NDC,Ghana_Election_Result.csv,"In 2008, J. A Mills of NDC received 370404 votes, representing 47.7%, in Brong Ahafo Region region. The record category is NDC."
Papa K. Nduom,CPP,3988,0.51,2008,Brong Ahafo Region,Brong Ahafo Region,Others,Ghana_Election_Result.csv,"In 2008, Papa K. Nduom of CPP received 3988 votes, representing 0.51%, in Brong Ahafo Region region. The record category is Others."
Edward Mahama,PNC,4038,0.52,2008,Brong Ahafo Region,Brong Ahafo Region,Others,Ghana_Election_Result.csv,"In 2008, Edward Mahama of PNC received 4038 votes, representing 0.52%, in Brong Ahafo Region region. The record category is Others."
Kwesi Amoafo-Yeboah,IND,1696,0.22,2008,Brong Ahafo Region,Brong Ahafo Region,Others,Ghana_Election_Result.csv,"In 2008, Kwesi Amoafo-Yeboah of IND received 1696 votes, representing 0.22%, in Brong Ahafo Region region. The record category is Others."
Nana Addo,NPP,313665,45.97,2008,Central Region,Central Region,NPP,Ghana_Election_Result.csv,"In 2008, Nana Addo of NPP received 313665 votes, representing 45.97%, in Central Region region. The record category is NPP."
J. A Mills,NDC,345126,50.58,2008,Central Region,Central Region,NDC,Ghana_Election_Result.csv,"In 2008, J. A Mills of NDC received 345126 votes, representing 50.58%, in Central Region region. The record category is NDC."
Papa K. Nduom,CPP,15449,2.26,2008,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2008, Papa K. Nduom of CPP received 15449 votes, representing 2.26%, in Central Region region. The record category is Others."
Edward Mahama,PNC,2693,0.39,2008,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2008, Edward Mahama of PNC received 2693 votes, representing 0.39%, in Central Region region. The record category is Others."
Kwesi Amoafo-Yeboah,IND,1334,0.2,2008,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2008, Kwesi Amoafo-Yeboah of IND received 1334 votes, representing 0.2%, in Central Region region. The record category is Others."
Nana Addo,NPP,491520,57.14,2008,Eastern Region,Eastern Region,NPP,Ghana_Election_Result.csv,"In 2008, Nana Addo of NPP received 491520 votes, representing 57.14%, in Eastern Region region. The record category is NPP."
J. A Mills,NDC,353522,41.1,2008,Eastern Region,Eastern Region,NDC,Ghana_Election_Result.csv,"In 2008, J. A Mills of NDC received 353522 votes, representing 41.1%, in Eastern Region region. The record category is NDC."
Papa K. Nduom,CPP,8101,0.94,2008,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2008, Papa K. Nduom of CPP received 8101 votes, representing 0.94%, in Eastern Region region. The record category is Others."
Edward Mahama,PNC,2948,0.34,2008,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2008, Edward Mahama of PNC received 2948 votes, representing 0.34%, in Eastern Region region. The record category is Others."
Kwesi Amoafo-Yeboah,IND,1274,0.15,2008,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2008, Kwesi Amoafo-Yeboah of IND received 1274 votes, representing 0.15%, in Eastern Region region. The record category is Others."
Nana Addo,NPP,766448,46.35,2008,Greater Accra Region,Greater Accra Region,NPP,Ghana_Election_Result.csv,"In 2008, Nana Addo of NPP received 766448 votes, representing 46.35%, in Greater Accra Region region. The record category is NPP."
J. A Mills,NDC,856510,51.8,2008,Greater Accra Region,Greater Accra Region,NDC,Ghana_Election_Result.csv,"In 2008, J. A Mills of NDC received 856510 votes, representing 51.8%, in Greater Accra Region region. The record category is NDC."
Papa K. Nduom,CPP,20582,1.24,2008,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2008, Papa K. Nduom of CPP received 20582 votes, representing 1.24%, in Greater Accra Region region. The record category is Others."
Edward Mahama,PNC,6174,0.37,2008,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2008, Edward Mahama of PNC received 6174 votes, representing 0.37%, in Greater Accra Region region. The record category is Others."
Kwesi Amoafo-Yeboah,IND,535,0.03,2008,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2008, Kwesi Amoafo-Yeboah of IND received 535 votes, representing 0.03%, in Greater Accra Region region. The record category is Others."
Nana Addo,NPP,314311,38.01,2008,Northern Region,Northern Region,NPP,Ghana_Election_Result.csv,"In 2008, Nana Addo of NPP received 314311 votes, representing 38.01%, in Northern Region region. The record category is NPP."
J. A Mills,NDC,469524,56.78,2008,Northern Region,Northern Region,NDC,Ghana_Election_Result.csv,"In 2008, J. A Mills of NDC received 469524 votes, representing 56.78%, in Northern Region region. The record category is NDC."
Papa K. Nduom,CPP,10944,1.32,2008,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2008, Papa K. Nduom of CPP received 10944 votes, representing 1.32%, in Northern Region region. The record category is Others."
Edward Mahama,PNC,20376,2.46,2008,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2008, Edward Mahama of PNC received 20376 votes, representing 2.46%, in Northern Region region. The record category is Others."
Kwesi Amoafo-Yeboah,IND,3223,0.39,2008,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2008, Kwesi Amoafo-Yeboah of IND received 3223 votes, representing 0.39%, in Northern Region region. The record category is Others."
Nana Addo,NPP,118454,35.25,2008,Upper East Region,Upper East Region,NPP,Ghana_Election_Result.csv,"In 2008, Nana Addo of NPP received 118454 votes, representing 35.25%, in Upper East Region region. The record category is NPP."
J. A Mills,NDC,188405,56.06,2008,Upper East Region,Upper East Region,NDC,Ghana_Election_Result.csv,"In 2008, J. A Mills of NDC received 188405 votes, representing 56.06%, in Upper East Region region. The record category is NDC."
Papa K. Nduom,CPP,2800,0.83,2008,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2008, Papa K. Nduom of CPP received 2800 votes, representing 0.83%, in Upper East Region region. The record category is Others."
Edward Mahama,PNC,20349,6.06,2008,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2008, Edward Mahama of PNC received 20349 votes, representing 6.06%, in Upper East Region region. The record category is Others."
Kwesi Amoafo-Yeboah,IND,2558,0.76,2008,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2008, Kwesi Amoafo-Yeboah of IND received 2558 votes, representing 0.76%, in Upper East Region region. The record category is Others."
Nana Addo,NPP,81137,37.72,2008,Upper West Region,Upper West Region,NPP,Ghana_Election_Result.csv,"In 2008, Nana Addo of NPP received 81137 votes, representing 37.72%, in Upper West Region region. The record category is NPP."
J. A Mills,NDC,116922,54.36,2008,Upper West Region,Upper West Region,NDC,Ghana_Election_Result.csv,"In 2008, J. A Mills of NDC received 116922 votes, representing 54.36%, in Upper West Region region. The record category is NDC."
Papa K. Nduom,CPP,1610,0.75,2008,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2008, Papa K. Nduom of CPP received 1610 votes, representing 0.75%, in Upper West Region region. The record category is Others."
Edward Mahama,PNC,8625,4.01,2008,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2008, Edward Mahama of PNC received 8625 votes, representing 4.01%, in Upper West Region region. The record category is Others."
Kwesi Amoafo-Yeboah,IND,3216,1.5,2008,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2008, Kwesi Amoafo-Yeboah of IND received 3216 votes, representing 1.5%, in Upper West Region region. The record category is Others."
Nana Addo,NPP,99584,14.98,2008,Volta Region,Volta Region,NPP,Ghana_Election_Result.csv,"In 2008, Nana Addo of NPP received 99584 votes, representing 14.98%, in Volta Region region. The record category is NPP."
J. A Mills,NDC,551046,82.88,2008,Volta Region,Volta Region,NDC,Ghana_Election_Result.csv,"In 2008, J. A Mills of NDC received 551046 votes, representing 82.88%, in Volta Region region. The record category is NDC."
Papa K. Nduom,CPP,4817,0.72,2008,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2008, Papa K. Nduom of CPP received 4817 votes, representing 0.72%, in Volta Region region. The record category is Others."
Edward Mahama,PNC,3271,0.49,2008,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2008, Edward Mahama of PNC received 3271 votes, representing 0.49%, in Volta Region region. The record category is Others."
Kwesi Amoafo-Yeboah,IND,1753,0.26,2008,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2008, Kwesi Amoafo-Yeboah of IND received 1753 votes, representing 0.26%, in Volta Region region. The record category is Others."
Nana Addo,NPP,394521,46.85,2008,Western Region,Western Region,NPP,Ghana_Election_Result.csv,"In 2008, Nana Addo of NPP received 394521 votes, representing 46.85%, in Western Region region. The record category is NPP."
J. A Mills,NDC,399620,47.46,2008,Western Region,Western Region,NDC,Ghana_Election_Result.csv,"In 2008, J. A Mills of NDC received 399620 votes, representing 47.46%, in Western Region region. The record category is NDC."
Papa K. Nduom,CPP,36656,4.35,2008,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2008, Papa K. Nduom of CPP received 36656 votes, representing 4.35%, in Western Region region. The record category is Others."
Edward Mahama,PNC,3580,0.43,2008,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2008, Edward Mahama of PNC received 3580 votes, representing 0.43%, in Western Region region. The record category is Others."
Kwesi Amoafo-Yeboah,IND,1671,0.2,2008,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2008, Kwesi Amoafo-Yeboah of IND received 1671 votes, representing 0.2%, in Western Region region. The record category is Others."
J. A. Kuffour,NPP,1235395,74.61,2004,Ashanti Region,Ashanti Region,NPP,Ghana_Election_Result.csv,"In 2004, J. A. Kuffour of NPP received 1235395 votes, representing 74.61%, in Ashanti Region region. The record category is NPP."
J. A. Mills,NDC,398362,24.06,2004,Ashanti Region,Ashanti Region,NDC,Ghana_Election_Result.csv,"In 2004, J. A. Mills of NDC received 398362 votes, representing 24.06%, in Ashanti Region region. The record category is NDC."
George Aggudey,CPP,7921,0.48,2004,Ashanti Region,Ashanti Region,Others,Ghana_Election_Result.csv,"In 2004, George Aggudey of CPP received 7921 votes, representing 0.48%, in Ashanti Region region. The record category is Others."
Edward Mahama,PNC,14082,0.85,2004,Ashanti Region,Ashanti Region,Others,Ghana_Election_Result.csv,"In 2004, Edward Mahama of PNC received 14082 votes, representing 0.85%, in Ashanti Region region. The record category is Others."
J. A. Kuffour,NPP,396461,51.96,2004,Brong Ahafo Region,Brong Ahafo Region,NPP,Ghana_Election_Result.csv,"In 2004, J. A. Kuffour of NPP received 396461 votes, representing 51.96%, in Brong Ahafo Region region. The record category is NPP."
J. A. Mills,NDC,351384,46.05,2004,Brong Ahafo Region,Brong Ahafo Region,NDC,Ghana_Election_Result.csv,"In 2004, J. A. Mills of NDC received 351384 votes, representing 46.05%, in Brong Ahafo Region region. The record category is NDC."
George Aggudey,CPP,5854,0.77,2004,Brong Ahafo Region,Brong Ahafo Region,Others,Ghana_Election_Result.csv,"In 2004, George Aggudey of CPP received 5854 votes, representing 0.77%, in Brong Ahafo Region region. The record category is Others."
Edward Mahama,PNC,9306,1.22,2004,Brong Ahafo Region,Brong Ahafo Region,Others,Ghana_Election_Result.csv,"In 2004, Edward Mahama of PNC received 9306 votes, representing 1.22%, in Brong Ahafo Region region. The record category is Others."
J. A. Kuffour,NPP,414339,59.14,2004,Central Region,Central Region,NPP,Ghana_Election_Result.csv,"In 2004, J. A. Kuffour of NPP received 414339 votes, representing 59.14%, in Central Region region. The record category is NPP."
J. A. Mills,NDC,277433,39.6,2004,Central Region,Central Region,NDC,Ghana_Election_Result.csv,"In 2004, J. A. Mills of NDC received 277433 votes, representing 39.6%, in Central Region region. The record category is NDC."
George Aggudey,CPP,9981,1.42,2004,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2004, George Aggudey of CPP received 9981 votes, representing 1.42%, in Central Region region. The record category is Others."
Edward Mahama,PNC,5718,0.82,2004,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2004, Edward Mahama of PNC received 5718 votes, representing 0.82%, in Central Region region. The record category is Others."
J. A. Kuffour,NPP,554933,60.27,2004,Eastern Region,Eastern Region,NPP,Ghana_Election_Result.csv,"In 2004, J. A. Kuffour of NPP received 554933 votes, representing 60.27%, in Eastern Region region. The record category is NPP."
J. A. Mills,NDC,353356,38.38,2004,Eastern Region,Eastern Region,NDC,Ghana_Election_Result.csv,"In 2004, J. A. Mills of NDC received 353356 votes, representing 38.38%, in Eastern Region region. The record category is NDC."
George Aggudey,CPP,6851,0.74,2004,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2004, George Aggudey of CPP received 6851 votes, representing 0.74%, in Eastern Region region. The record category is Others."
Edward Mahama,PNC,5532,0.6,2004,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2004, Edward Mahama of PNC received 5532 votes, representing 0.6%, in Eastern Region region. The record category is Others."
J. A. Kuffour,NPP,910159,51.99,2004,Greater Accra Region,Greater Accra Region,NPP,Ghana_Election_Result.csv,"In 2004, J. A. Kuffour of NPP received 910159 votes, representing 51.99%, in Greater Accra Region region. The record category is NPP."
J. A. Mills,NDC,811883,46.37,2004,Greater Accra Region,Greater Accra Region,NDC,Ghana_Election_Result.csv,"In 2004, J. A. Mills of NDC received 811883 votes, representing 46.37%, in Greater Accra Region region. The record category is NDC."
George Aggudey,CPP,12600,0.72,2004,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2004, George Aggudey of CPP received 12600 votes, representing 0.72%, in Greater Accra Region region. The record category is Others."
Edward Mahama,PNC,16065,0.92,2004,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2004, Edward Mahama of PNC received 16065 votes, representing 0.92%, in Greater Accra Region region. The record category is Others."
J. A. Kuffour,NPP,283091,35.9,2004,Northern Region,Northern Region,NPP,Ghana_Election_Result.csv,"In 2004, J. A. Kuffour of NPP received 283091 votes, representing 35.9%, in Northern Region region. The record category is NPP."
J. A. Mills,NDC,443404,56.23,2004,Northern Region,Northern Region,NDC,Ghana_Election_Result.csv,"In 2004, J. A. Mills of NDC received 443404 votes, representing 56.23%, in Northern Region region. The record category is NDC."
George Aggudey,CPP,13689,1.74,2004,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2004, George Aggudey of CPP received 13689 votes, representing 1.74%, in Northern Region region. The record category is Others."
Edward Mahama,PNC,48302,6.13,2004,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2004, Edward Mahama of PNC received 48302 votes, representing 6.13%, in Northern Region region. The record category is Others."
J. A. Kuffour,NPP,106003,31.66,2004,Upper East Region,Upper East Region,NPP,Ghana_Election_Result.csv,"In 2004, J. A. Kuffour of NPP received 106003 votes, representing 31.66%, in Upper East Region region. The record category is NPP."
J. A. Mills,NDC,180462,53.9,2004,Upper East Region,Upper East Region,NDC,Ghana_Election_Result.csv,"In 2004, J. A. Mills of NDC received 180462 votes, representing 53.9%, in Upper East Region region. The record category is NDC."
George Aggudey,CPP,5860,1.75,2004,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2004, George Aggudey of CPP received 5860 votes, representing 1.75%, in Upper East Region region. The record category is Others."
Edward Mahama,PNC,42460,12.68,2004,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2004, Edward Mahama of PNC received 42460 votes, representing 12.68%, in Upper East Region region. The record category is Others."
